                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.34038,                 0.2443,                0.85804,                 0.9838,                      1,                0.98396,                0.93049,                0.34494,                0.24586,                0.73366,              0.0004952,              0.0004952,              0.0004952
                     78,                0.34072,                0.25051,                0.86269,                 0.9839,                      1,                0.98205,                 0.9267,                0.34786,                0.24213,                0.73432,              0.0004754,              0.0004754,              0.0004754
                     79,                0.34246,                0.24379,                0.86207,                0.98374,                      1,                0.98111,                0.92963,                0.33445,                0.23993,                0.73871,              0.0004556,              0.0004556,              0.0004556
                     80,                0.32815,                0.23601,                0.85163,                0.98377,                      1,                0.98079,                0.92291,                0.34497,                0.24284,                 0.7442,              0.0004358,              0.0004358,              0.0004358
                     81,                0.33653,                0.24169,                0.85076,                 0.9838,                      1,                0.98284,                0.92998,                0.35485,                 0.2464,                0.74863,               0.000416,               0.000416,               0.000416
                     82,                0.32691,                0.23265,                0.84796,                0.98386,                      1,                 0.9827,                0.93017,                0.34088,                0.23604,                0.74171,              0.0003962,              0.0003962,              0.0003962
                     83,                0.32542,                 0.2355,                0.85263,                0.98393,                      1,                0.98425,                 0.9281,                0.33608,                0.23831,                0.73631,              0.0003764,              0.0003764,              0.0003764
                     84,                0.33037,                0.23508,                   0.85,                0.97898,                      1,                0.98585,                0.93615,                0.33458,                0.23767,                 0.7345,              0.0003566,              0.0003566,              0.0003566
                     85,                0.32953,                0.23672,                0.85134,                0.97395,                0.99968,                0.98482,                0.92389,                0.35785,                0.24419,                 0.7405,              0.0003368,              0.0003368,              0.0003368
                     86,                 0.3255,                0.23181,                0.85393,                0.97394,                      1,                 0.9853,                0.93148,                0.35031,                0.24721,                0.73899,               0.000317,               0.000317,               0.000317
                     87,                0.31882,                0.22392,                0.84142,                0.98421,                0.99995,                0.98624,                0.92861,                0.34568,                0.24638,                0.73454,              0.0002972,              0.0002972,              0.0002972
                     88,                0.31299,                0.22894,                0.85012,                0.97331,                      1,                0.98649,                0.93488,                0.34656,                0.23785,                0.73349,              0.0002774,              0.0002774,              0.0002774
                     89,                0.32045,                0.23408,                0.85516,                0.97877,                      1,                0.98737,                0.93164,                0.33702,                0.23134,                0.73717,              0.0002576,              0.0002576,              0.0002576
                     90,                0.31772,                0.21989,                0.85131,                0.98378,                      1,                0.98954,                0.93757,                0.33431,                0.22597,                0.74191,              0.0002378,              0.0002378,              0.0002378
